x,y,z
1.0292969,0.24243164,-0.15307617
1.0166016,0.18701172,-0.13549804
1.0146484,0.199951168,-0.15991211
1.0195312,0.230224616,-0.15332031
1.0117188,0.22607422,-0.168701168
1.019043,0.29711914,-0.176269532
1.0185547,0.2553711,-0.15307617
1.010498,0.27392578,-0.1550293
1.0100098,0.25317384,-0.17163086
1.0024414,0.22802734,-0.18164062
1.0078125,0.1821289,-0.1303711
0.992431632,0.30981444,-0.107421868
1.0109863,0.27124024,-0.10644531
1.0048828,0.30664062,-0.15429688
0.9963379,0.26611328,-0.198730468
0.9987793,0.32177734,-0.1418457
1.0070801,0.3149414,-0.12963867
0.99731448,0.29785156,-0.15014648
0.994384736,0.3178711,-0.13842774
0.998291,0.32861328,-0.14013672
0.9914551,0.29345704,-0.1616211
1.0021973,0.32348632,-0.13085938
0.994384736,0.31591796,-0.1508789
0.99780268,0.32128906,-0.13891602
0.9968262,0.3251953,-0.17895508
0.99121096,0.3095703,-0.175781252
0.9926758,0.31103516,-0.15014648
1.0043945,0.31298828,-0.17456054
0.9968262,0.29541016,-0.12695312
0.9929199,0.32543944,-0.14160156
0.9929199,0.31860352,-0.15795898
0.9875488,0.30737304,-0.15307617
0.9909668,0.34594728,-0.183837884
0.9963379,0.32666016,-0.122802732
0.9938965,0.31176758,-0.14526367
0.99316408,0.33154296,-0.14697266
0.9892578,0.32641602,-0.14794922
0.9904785,0.3034668,-0.12182617
0.99487304,0.35375976,-0.175048832
0.9892578,0.31689452,-0.13769531
0.9890137,0.350097668,-0.15307617
0.9890137,0.34375,-0.14526367
0.98779292,0.33862304,-0.12939453
0.9885254,0.30981444,-0.14038086
0.9909668,0.3461914,-0.17700196
0.9892578,0.33862304,-0.15185547
0.9873047,0.343017568,-0.13623047
0.9926758,0.34472656,-0.13354492
0.9819336,0.29711914,-0.16040039
0.9916992,0.3161621,-0.10644531
0.9958496,0.32495116,-0.14379883
0.9929199,0.337402336,-0.16308594
0.9914551,0.31469728,-0.15478516
0.99194332,0.31713868,-0.15209961
0.9934082,0.3359375,-0.14941406
0.98217776,0.3046875,-0.16674804
0.99609376,0.32836914,-0.0949707
0.9880371,0.33374024,-0.1508789
0.994384736,0.3413086,-0.14477539
0.98779292,0.33007812,-0.1394043
0.994384736,0.32421876,-0.13916016
0.994384736,0.34716796,-0.183105468
0.99560544,0.3371582,-0.12426758
0.9909668,0.33544922,-0.15649414
0.98779292,0.3166504,-0.1496582
0.9946289,0.33251952,-0.13378906
0.9951172,0.33666992,-0.14453125
0.9902344,0.32250976,-0.13452148
0.9902344,0.3400879,-0.16040039
0.9914551,0.3251953,-0.14892578
0.9968262,0.34155272,-0.14697266
0.9904785,0.31835938,-0.15649414
0.9880371,0.33203124,-0.16210938
